no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
7,8,MgSnZn,Lit_PCT,Mg 95 Sn 3 Zn 2,Mg+TM+Ln+,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,0.95 0.03 0.02,0.95 0.03 0.02,0.2029,1.278,Ln(P) (MPa),1000/RT,319.74,593,593,-1.0246,1.278,0.36,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.1196,-0.8637,1.73,1.9303
8,9,MgSnZn,Lit_PCT,Mg 95 Sn 3 Zn 2,Mg+TM+Ln+,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,0.95 0.03 0.02,0.95 0.03 0.02,0.21,0.8382,Ln(P) (MPa),1000/RT,299.82,573,573,-1.4644,0.8382,0.23,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.1196,-0.8637,1.73,1.9303
9,10,MgSnZn,Lit_PCT,Mg 95 Sn 3 Zn 2,Mg+TM+Ln+,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,0.95 0.03 0.02,0.95 0.03 0.02,0.2176,0.3064,Ln(P) (MPa),1000/RT,279.63,553,553,-1.9962,0.3064,0.14,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.1196,-0.8637,1.73,1.9303
10,39,17,PCI,Mg-0.05In,Mg+TM+Ln+,In0.05Mg0.95,Mg   In,0.95 0.05,0.95 0.05,1.5114,2.9706,Ln(P) (bar),1000/T,388.64,663,663,0.668,2.9706,1.95,13.85,3.1,1.603,130.7,220,1.3335,2.0185,0.02,897.39,1428.5,2.05,7.557,156.1,44.5,8.428,14.0665,28.8355,980.65,-0.1295,3.4735,1.7765,-2.2775,-0.2565,-3.07,0.011,-1.6465,60.409,43.884,0.268,0.1025,-0.8665,1,1.6506
11,40,17,PCI,Mg-0.05In,Mg+TM+Ln+,In0.05Mg0.95,Mg   In,0.95 0.05,0.95 0.05,1.5842,2.3529,Ln(P) (bar),1000/T,358.25,633,633,0.0504,2.3529,1.05,13.85,3.1,1.603,130.7,220,1.3335,2.0185,0.02,897.39,1428.5,2.05,7.557,156.1,44.5,8.428,14.0665,28.8355,980.65,-0.1295,3.4735,1.7765,-2.2775,-0.2565,-3.07,0.011,-1.6465,60.409,43.884,0.268,0.1025,-0.8665,1,1.6506
12,41,17,PCI,Mg-0.05In,Mg+TM+Ln+,In0.05Mg0.95,Mg   In,0.95 0.05,0.95 0.05,1.6624,1.6226,Ln(P) (bar),1000/T,328.55,603,603,-0.68,1.6225,0.51,13.85,3.1,1.603,130.7,220,1.3335,2.0185,0.02,897.39,1428.5,2.05,7.557,156.1,44.5,8.428,14.0665,28.8355,980.65,-0.1295,3.4735,1.7765,-2.2775,-0.2565,-3.07,0.011,-1.6465,60.409,43.884,0.268,0.1025,-0.8665,1,1.6506
13,42,17,PCI,Mg-0.05In,Mg+TM+Ln+,In0.05Mg0.95,Mg   In,0.95 0.05,0.95 0.05,1.748,0.8382,Ln(P) (bar),1000/T,299.08,573,573,-1.4643,0.8383,0.23,13.85,3.1,1.603,130.7,220,1.3335,2.0185,0.02,897.39,1428.5,2.05,7.557,156.1,44.5,8.428,14.0665,28.8355,980.65,-0.1295,3.4735,1.7765,-2.2775,-0.2565,-3.07,0.011,-1.6465,60.409,43.884,0.268,0.1025,-0.8665,1,1.6506
14,43,17,PCI,Mg-0.10In,Mg+TM+Ln+,In0.1Mg0.9,Mg   In,0.9 0.1,0.9 0.1,1.5084,3.0539,Ln(P) (bar),1000/T,389.95,663,663,0.7513,3.0539,2.12,15.7,3.2,1.606,131.4,220,1.357,2.297,0.04,872.78,1477,2.1,7.464,152.2,44,8.156,14.153,33.361,941.3,-0.209,3.477,1.783,-2.365,-0.223,-3.05,0.012,-1.703,60.848,42.968,0.286,0.1411,-0.843,1,2.7029
15,44,17,PCI,Mg-0.10In,Mg+TM+Ln+,In0.1Mg0.9,Mg   In,0.9 0.1,0.9 0.1,1.5792,2.4559,Ln(P) (bar),1000/T,360.23,633,633,0.1533,2.4559,1.17,15.7,3.2,1.606,131.4,220,1.357,2.297,0.04,872.78,1477,2.1,7.464,152.2,44,8.156,14.153,33.361,941.3,-0.209,3.477,1.783,-2.365,-0.223,-3.05,0.012,-1.703,60.848,42.968,0.286,0.1411,-0.843,1,2.7029
16,45,17,PCI,Mg-0.10In,Mg+TM+Ln+,In0.1Mg0.9,Mg   In,0.9 0.1,0.9 0.1,1.654,1.8137,Ln(P) (bar),1000/T,331.61,603,603,-0.4889,1.8137,0.61,15.7,3.2,1.606,131.4,220,1.357,2.297,0.04,872.78,1477,2.1,7.464,152.2,44,8.156,14.153,33.361,941.3,-0.209,3.477,1.783,-2.365,-0.223,-3.05,0.012,-1.703,60.848,42.968,0.286,0.1411,-0.843,1,2.7029
