no,SrNo,PDF_name,Type,composition_final,Element,Fractions,Fracs,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Pressure_bar,AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,Relative_Vol,RC_Vol,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,Composition,Top_Intensity_1,Top_Intensity_2,Top_Intensity_3,Top_Intensity_4,Top_Intensity_5,Top_Intensity_6,Top_Intensity_7,Top_Intensity_8,Top_Intensity_9,Top_Intensity_10,Corresponding_Angle_1,Corresponding_Angle_2,Corresponding_Angle_3,Corresponding_Angle_4,Corresponding_Angle_5,Corresponding_Angle_6,Corresponding_Angle_7,Corresponding_Angle_8,Corresponding_Angle_9,Corresponding_Angle_10
3,4,9,PCI,Ce0.05Mg0.9Sm0.05,Mg    Ce   Sm  ,  90   5   5,100,0.9 0.05 0.05,0.9 0.05 0.05,1.53356075571089,1.81673251278934,Ln(P) (MPa),1000/T,379.077197643497,653,653,-0.4912,6.11891683426015,16.8,3.3,1.622,117,222.5,1.2935,2.268,0.05,950.7,1531.1,2.1,7.444,145.2,43.5,8.53,14.652,36.403,937.4,-1.222,3.393,1.8015,-2.831,-0.327,-3.245,0.009,-1.9635,68.6625,46.691,0.2745,0.002255479274851,13.473415576725,0.05,-0.9065,4.12,3.2792,Mg 90 Ce 5 Sm 5,1.00413223140496,0.981404958677686,0.871900826446281,0.830578512396694,0.820247933884297,0.762396694214876,0.570247933884297,0.446280991735537,0.413223140495868,0.34504132231405,35.2238805970149,31.9402985074627,15.8955223880597,31.3432835820895,35.9701492537313,28.955223880597,25.5970149253731,34.3283582089552,18.955223880597,33.8059701492537
4,5,9,PCI,Ce0.05Mg0.9Sm0.05,Mg    Ce   Sm  ,  90   5   5,100,0.9 0.05 0.05,0.9 0.05 0.05,1.58202350200071,1.31412399331409,Ln(P) (MPa),1000/T,359.101861151461,633,633,-0.9624,3.81975044898627,16.8,3.3,1.622,117,222.5,1.2935,2.268,0.05,950.7,1531.1,2.1,7.444,145.2,43.5,8.53,14.652,36.403,937.4,-1.222,3.393,1.8015,-2.831,-0.327,-3.245,0.009,-1.9635,68.6625,46.691,0.2745,0.002326855201271,13.8997894873809,0.05,-0.9065,4.12,3.2792,Mg 90 Ce 5 Sm 5,1.00413223140496,0.981404958677686,0.871900826446281,0.830578512396694,0.820247933884297,0.762396694214876,0.570247933884297,0.446280991735537,0.413223140495868,0.34504132231405,35.2238805970149,31.9402985074627,15.8955223880597,31.3432835820895,35.9701492537313,28.955223880597,25.5970149253731,34.3283582089552,18.955223880597,33.8059701492537
5,6,9,PCI,Ce0.05Mg0.9Sm0.05,Mg    Ce   Sm  ,  90   5   5,100,0.9 0.05 0.05,0.9 0.05 0.05,1.63489793850985,0.807881274375728,Ln(P) (MPa),1000/T,338.658976652368,613,613,-1.4566,2.33027221912104,16.8,3.3,1.622,117,222.5,1.2935,2.268,0.05,950.7,1531.1,2.1,7.444,145.2,43.5,8.53,14.652,36.403,937.4,-1.222,3.393,1.8015,-2.831,-0.327,-3.245,0.009,-1.9635,68.6625,46.691,0.2745,0.00240289622092,14.3540309738966,0.05,-0.9065,4.12,3.2792,Mg 90 Ce 5 Sm 5,1.00413223140496,0.981404958677686,0.871900826446281,0.830578512396694,0.820247933884297,0.762396694214876,0.570247933884297,0.446280991735537,0.413223140495868,0.34504132231405,35.2238805970149,31.9402985074627,15.8955223880597,31.3432835820895,35.9701492537313,28.955223880597,25.5970149253731,34.3283582089552,18.955223880597,33.8059701492537
6,7,9,PCI,Ce0.05Mg0.9Sm0.05,Mg    Ce   Sm  ,  90   5   5,100,0.9 0.05 0.05,0.9 0.05 0.05,1.69050245656688,0.252317277009573,Ln(P) (MPa),1000/T,318.540104609388,593,593,-1.9799,1.38083044924993,16.8,3.3,1.622,117,222.5,1.2935,2.268,0.05,950.7,1531.1,2.1,7.444,145.2,43.5,8.53,14.652,36.403,937.4,-1.222,3.393,1.8015,-2.831,-0.327,-3.245,0.009,-1.9635,68.6625,46.691,0.2745,0.002484075147303,14.8389644527445,0.05,-0.9065,4.12,3.2792,Mg 90 Ce 5 Sm 5,1.00413223140496,0.981404958677686,0.871900826446281,0.830578512396694,0.820247933884297,0.762396694214876,0.570247933884297,0.446280991735537,0.413223140495868,0.34504132231405,35.2238805970149,31.9402985074627,15.8955223880597,31.3432835820895,35.9701492537313,28.955223880597,25.5970149253731,34.3283582089552,18.955223880597,33.8059701492537
7,8,MgSnZn,Lit_PCT,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,  95   3   2,100,0.95 0.03 0.02,0.95 0.03 0.02,0.202909090909091,1.27802139037433,Ln(P) (MPa),1000/RT,319.737436067879,593,593,-1.024564,3.58952934772712,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.002381016915055,13.8218744604938,0.1196,-0.8637,1.73,1.9303,Mg 95 Sn 3 Zn 2,1.0783354406025,0.427738991809136,0.420867461931725,0.357484470342477,0.330767962179099,0.19740531031829,0.196195921059865,0.172008135891375,0.165906217360234,0.156945742400088,36.8341487548788,22.8481117035897,34.5297124951899,32.2807981969106,37.6988620746523,44.4153702380298,26.4713319773514,57.5905667637843,47.9638282667253,63.196635698972
8,9,MgSnZn,Lit_PCT,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,  95   3   2,100,0.95 0.03 0.02,0.95 0.03 0.02,0.209963636363636,0.838235294117647,Ln(P) (MPa),1000/RT,299.822115216275,573,573,-1.46435,2.31228240997594,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.002464123962701,14.3043133596384,0.1196,-0.8637,1.73,1.9303,Mg 95 Sn 3 Zn 2,1.0783354406025,0.427738991809136,0.420867461931725,0.357484470342477,0.330767962179099,0.19740531031829,0.196195921059865,0.172008135891375,0.165906217360234,0.156945742400088,36.8341487548788,22.8481117035897,34.5297124951899,32.2807981969106,37.6988620746523,44.4153702380298,26.4713319773514,57.5905667637843,47.9638282667253,63.196635698972
9,10,MgSnZn,Lit_PCT,Mg0.95Sn0.03Zn0.02,Mg    Sn   Zn  ,  95   3   2,100,0.95 0.03 0.02,0.95 0.03 0.02,0.217636363636364,0.306363636363636,Ln(P) (MPa),1000/RT,279.627384003134,553,553,-1.996221,1.35847682841226,13.5,3.08,1.5966,130.35,219.95,1.3363,2.0151,0.0333,904.907,1420.88,2.26,7.6755,156.41,45.89,8.622,13.9514,27.9634,983.27,-0.1557,3.444,1.7682,-2.2394,-0.2653,-3.0775,0.0107,-1.6548,63.2494,44.796,0.2645,0.002553242370032,14.8216483816868,0.1196,-0.8637,1.73,1.9303,Mg 95 Sn 3 Zn 2,1.0783354406025,0.427738991809136,0.420867461931725,0.357484470342477,0.330767962179099,0.19740531031829,0.196195921059865,0.172008135891375,0.165906217360234,0.156945742400088,36.8341487548788,22.8481117035897,34.5297124951899,32.2807981969106,37.6988620746523,44.4153702380298,26.4713319773514,57.5905667637843,47.9638282667253,63.196635698972
45,81,41,PCI,Mg0.88Y0.12,Mg    Y   ,  88   12,100,0.88 0.12,0.88 0.12,1.46849835242429,2.73980072179507,Ln(P/P0) (MPa),1000/RT,407.96773710991,681,681,0.437216,15.4839049328464,15.24,3.24,1.624,133.84,222.4,1.2992,2.0676,0.0372,1026.76,1647.72,2.12,7.4784,142.84,44.52,9.024,14.688,32.062,933.36,-0.728,3.3668,1.788,-2.664,-0.3536,-3.3468,0.0088,-2.1744,56.9856,47.5312,0.1096,0.001760512992607,8.93283909360985,0.03,-0.9008,4,3.0508,Mg 88 Y 12,1.00561797752809,0.292134831460674,0.168539325842697,0.146067415730337,0.146067415730337,0.129213483146067,0.095505617977528,0.0842696629213484,0.0842696629213484,0.0674157303370784,33.7579617834395,36.3694267515924,29.8089171974522,37.5796178343949,60.4458598726115,39.2356687898089,49.9363057324841,22.3566878980892,31.9745222929936,48.5987261146497
46,82,41,PCI,Mg0.88Y0.12,Mg    Y   ,  88   12,100,0.88 0.12,0.88 0.12,1.53478738427742,2.08190804958418,Ln(P/P0) (MPa),1000/RT,378.556046292889,652,652,-0.220677,8.01975676603582,15.24,3.24,1.624,133.84,222.4,1.2992,2.0676,0.0372,1026.76,1647.72,2.12,7.4784,142.84,44.52,9.024,14.688,32.062,933.36,-0.728,3.3668,1.788,-2.664,-0.3536,-3.3468,0.0088,-2.1744,56.9856,47.5312,0.1096,0.001838818018351,9.3301586238471,0.03,-0.9008,4,3.0508,Mg 88 Y 12,1.00561797752809,0.292134831460674,0.168539325842697,0.146067415730337,0.146067415730337,0.129213483146067,0.095505617977528,0.0842696629213484,0.0842696629213484,0.0674157303370784,33.7579617834395,36.3694267515924,29.8089171974522,37.5796178343949,60.4458598726115,39.2356687898089,49.9363057324841,22.3566878980892,31.9745222929936,48.5987261146497
47,83,41,PCI,Mg0.88Y0.12,Mg    Y   ,  88   12,100,0.88 0.12,0.88 0.12,1.60751608347717,1.34018515612741,Ln(P/P0) (MPa),1000/RT,349.077757279373,622,622,-0.9624,3.81975044898627,15.24,3.24,1.624,133.84,222.4,1.2992,2.0676,0.0372,1026.76,1647.72,2.12,7.4784,142.84,44.52,9.024,14.688,32.062,933.36,-0.728,3.3668,1.788,-2.664,-0.3536,-3.3468,0.0088,-2.1744,56.9856,47.5312,0.1096,0.001927506990298,9.78016627451497,0.03,-0.9008,4,3.0508,Mg 88 Y 12,1.00561797752809,0.292134831460674,0.168539325842697,0.146067415730337,0.146067415730337,0.129213483146067,0.095505617977528,0.0842696629213484,0.0842696629213484,0.0674157303370784,33.7579617834395,36.3694267515924,29.8089171974522,37.5796178343949,60.4458598726115,39.2356687898089,49.9363057324841,22.3566878980892,31.9745222929936,48.5987261146497
